Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;Вес;Цвет;Производитель;Ширина;Материал;Покрытие;"Угол открывания";Высота;"Единица измерения";Длина;"Нагрузка, N";"Размер чаши";"Установочный проем";"Общий размер";"Вес без упаковки";"Вес в упаковке";"Размеры упаковки";"Размер мойки";"Диаметр, мм";"Толщина стали,мм.";Размеры;Глубина;Диаметр;Толщина
"Комплектующие для мебели/Наполнение для шкафов/Штанга выдвижная /Штанга выдвижная 500 ";"Штанга выдвижная 500 никель Arket";55.00;shtanga-vydvizhnaya-500-nikel-arket;1;0;;;;00000002195;65;"Штанга выдвижная 500 никель Arket";"Штанга выдвижная 500 никель Arket";;;;"ww-wsl.jpg, 295_ww-wsl_sch.jpg";;никель;;;;;;;;500;;;;;;;;;;;;;;
"Комплектующие для мебели/Наполнение для шкафов/Штанга выдвижная /Штанга выдвижная 500 ";"Штанга выдвижная 500 никель ";39.00;shtanga-vydvizhnaya-500-nikel-;1;0;;;;00000000261;3;"Штанга выдвижная 500 никель ";"Штанга выдвижная 500 никель ";;;;"00000014290.jpg, 01403501.png, a00462_0.jpg, 1313402812.jpg";;никель;;;;;;;;500;;;;;;;;;;;;;;
"Комплектующие для мебели/Наполнение для шкафов/Штанга выдвижная /Штанга выдвижная 450 ";"Штанга выдвижная 450 никель Arket";51.00;shtanga-vydvizhnaya-450-nikel-arket;1;;;;;00000000259;6;"Штанга выдвижная 450 никель Arket";"Штанга выдвижная 450 никель Arket";;;;shtanga_vyidv450mm_nikel_1245.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Наполнение для шкафов/Штанга выдвижная /Штанга выдвижная 400 ";"Штанга выдвижная 400 никель";38.35;shtanga-vydvizhnaya-400-nikel;1;;;;;00000000258;1299;"Штанга выдвижная 400 никель";"Штанга выдвижная 400 никель";;;;R_shtanga_vidvizhnaya_L400mm_FIRMAX_ctal_nikel_FRM0528.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Наполнение для шкафов/Штанга выдвижная /Штанга выдвижная 380 ";"Штанга выдвижная 380 черная";31.00;shtanga-vydvizhnaya-380-chernaya;1;;;;;00000001517;0;"Штанга выдвижная 380 черная";"Штанга выдвижная 380 черная";;;;4123.jpg;;черная;;;;;;;;380;;;;;;;;;;;;;;
"Комплектующие для мебели/Наполнение для шкафов/Штанга выдвижная /Штанга выдвижная 380 ";"Штанга выдвижная 380 черная ";35.00;shtanga-vydvizhnaya-380-chernaya-;1;0;;;;00000000267;144;"Штанга выдвижная 380 черная ";"Штанга выдвижная 380 черная ";;;;"2988_img.jpg, 295_ww-wsl_sch_1.jpg";;черная;;;;;;;;380;;;;;;;;;;;;;;
"Комплектующие для мебели/Наполнение для шкафов/Штанга выдвижная /Штанга выдвижная 350 ";"Штанга выдвижная 350 черная";48.00;shtanga-vydvizhnaya-350-chernaya;1;0;;;;00000000257;0;"Штанга выдвижная 350 черная";"Штанга выдвижная 350 черная";;;;"2988_img_1.jpg, 295_ww-wsl_sch_2.jpg";;черная;;;;;;;;350;;;;;;;;;;;;;;
"Комплектующие для мебели/Наполнение для шкафов/Штанга выдвижная /Штанга выдвижная 350 ";"Штанга выдвижная 350 никель ";33.87;shtanga-vydvizhnaya-350-nikel-;1;;;;;00000000263;829;"Штанга выдвижная 350 никель ";"Штанга выдвижная 350 никель ";;;;R_shtanga_vidvizhnaya_L300mm_FIRMAX_ctal_nikel_FRM0526.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Комплектующие для шкафов-купе/Комплектующие на шкаф Рамир/Шлегель";"Шлегель Золото 7*6 М  250";3.78;shlegel-zoloto-76-m-250;1;;;;;00000002206;422;"Шлегель Золото 7*6 М  250";"Шлегель Золото 7*6 М  250";;;;"monokolor-746x1000_2.jpg, 14891833_w200_h200_monokolor_3.jpg";;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Комплектующие для шкафов-купе/Комплектующие на шкаф Рамир/Шлегель";"Шлегель Cерый 3Р 250";5.50;shlegel-ceryj-3r-250;0;;;;;00000001831;0;"Шлегель Cерый 3Р 250";"Шлегель Cерый 3Р 250";;;;d81447df626dc94d726271d1261a2c79_2.png;;;;;;;;;;;;;;;;;;;;;;;;
