Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;Вес;Цвет;Производитель;Ширина;Материал;Покрытие;"Угол открывания";Высота;"Единица измерения";Длина;"Нагрузка, N";"Размер чаши";"Установочный проем";"Общий размер";"Вес без упаковки";"Вес в упаковке";"Размеры упаковки";"Размер мойки";"Диаметр, мм";"Толщина стали,мм.";Размеры;Глубина;Диаметр;Толщина
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Шариковые направл.с доводчиком";"Шариковые напр. с довод. L500 h-45";190.29;sharikovye-napr-s-dovod-l500-h-45;1;;;;;00000001106;0;"Шариковые напр. с довод. L500 h-45";"Шариковые напр. с довод. L500 h-45";;;;"4270 обр_1.jpg";;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Шариковые направл.с доводчиком";"Шариковые напр. с довод. L300 h-45";129.57;sharikovye-napr-s-dovod-l300-h-45;1;;;;;00000001872;12;"Шариковые напр. с довод. L300 h-45";"Шариковые напр. с довод. L300 h-45";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Кухонные комплектующие/Фужерница";"Фужерница 350";371.00;fuzhernitsa-350;1;;;;;00000000341;81;"Фужерница 350";"Фужерница 350";;;;57bb4624700d5c7ce9f7218de3e06ca7.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Кухонные комплектующие/Фруктовница";"Фруктовница 350";455.70;fruktovnitsa-350;1;;;;;00000000340;213;"Фруктовница 350";"Фруктовница 350";;;;"0000004055.jpg, 28r.300x300.jpg?7f6acc68145d2620cf36e8195c7a2b9b";"1.2 кг";;;;;;;;шт;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Прочие";"Фрезер ручной кромочный FR256R ";16500.00;frezer-ruchnoj-kromochnyj-fr256r-;1;;;;;00000002049;0;"Фрезер ручной кромочный FR256R ";"Фрезер ручной кромочный FR256R ";;;;"preview_0a8f2037.jpg, fr256n-frezer-ruchnoi-kromochnyi-v-konteinere-5600310-B.jpg";;;;;;;;h35;;L350;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза алмазн. SR-122512 D12 B25";3690.44;freza-almazn-sr-122512-d12-b25;1;;;;;00000001542;24;"Фреза алмазн. SR-122512 D12 B25";"Фреза алмазн. SR-122512 D12 B25";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза алмазн. Mikrotech 12-25 ";3250.00;freza-almazn-mikrotech-12-25-;1;;;;;УТ000000427;0;"Фреза алмазн. Mikrotech 12-25 ";"Фреза алмазн. Mikrotech 12-25 ";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза алмазн. Koimpex 12*35 ";2170.00;freza-almazn-koimpex-1235-;1;;;;;УТ000000116;3;"Фреза алмазн. Koimpex 12*35 ";"Фреза алмазн. Koimpex 12*35 ";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза R-2мм концевая с ниж. подшип.";714.00;freza-r-2mm-kontsevaya-s-nizh-podship;1;;;;;00000002939;1;"Фреза R-2мм концевая с ниж. подшип.";"Фреза R-2мм концевая с ниж. подшип.";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза QCH 6304";350.18;freza-qch-6304;1;;;;;00000000889;2;"Фреза QCH 6304";"Фреза QCH 6304";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  Р110163";977.60;freza-r110163;1;;;;;00000001824;2;"Фреза  Р110163";"Фреза  Р110163";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  Р 28 12 02";1001.05;freza-r-28-12-02;1;;;;;00000002970;0;"Фреза  Р 28 12 02";"Фреза  Р 28 12 02";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  Р 26 12 02";758.86;freza-r-26-12-02;1;;;;;00000002970;2;"Фреза  Р 26 12 02";"Фреза  Р 26 12 02";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  Р 24 12 02";454.65;freza-r-24-12-02;1;;;;;00000000711;3;"Фреза  Р 24 12 02";"Фреза  Р 24 12 02";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  Р 24 10 02";672.11;freza-r-24-10-02;1;;;;;00000000712;5;"Фреза  Р 24 10 02";"Фреза  Р 24 10 02";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  Р 24 08 02";450.92;freza-r-24-08-02;1;;;;;00000000713;0;"Фреза  Р 24 08 02";"Фреза  Р 24 08 02";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  RК 43002";4662.93;freza-rk-43002;1;;;;;00000000879;1;"Фреза  RК 43002";"Фреза  RК 43002";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  RW 10005";1327.51;freza-rw-10005;1;;;;;УТ000000628;17;"Фреза  RW 10005";"Фреза  RW 10005";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  RW 10002 В";1203.71;freza-rw-10002-v;1;;;;;00000000714;10;"Фреза  RW 10002 В";"Фреза  RW 10002 В";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  RW 08005";1175.07;freza-rw-08005;1;;;;;УТ000000536;2;"Фреза  RW 08005";"Фреза  RW 08005";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  RW 08002 В";1247.27;freza-rw-08002-v;1;;;;;00000000877;1;"Фреза  RW 08002 В";"Фреза  RW 08002 В";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  RW 02005";1030.39;freza-rw-02005;1;;;;;00000000721;0;"Фреза  RW 02005";"Фреза  RW 02005";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  RV 10 002";1066.53;freza-rv-10-002;1;;;;;УТ000000676;3;"Фреза  RV 10 002";"Фреза  RV 10 002";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  RU 07003";1706.52;freza-ru-07003;1;;;;;00000001886;2;"Фреза  RU 07003";"Фреза  RU 07003";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  RRA 3502";1529.71;freza-rra-3502;1;;;;;00000000878;4;"Фреза  RRA 3502";"Фреза  RRA 3502";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  RBL 10 02";1148.11;freza-rbl-10-02;1;;;;;00000000716;2;"Фреза  RBL 10 02";"Фреза  RBL 10 02";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  RBL 08 05";812.14;freza-rbl-08-05;1;;;;;00000000715;2;"Фреза  RBL 08 05";"Фреза  RBL 08 05";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  RB 10 002";1327.51;freza-rb-10-002;1;;;;;00000000717;1;"Фреза  RB 10 002";"Фреза  RB 10 002";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  N 303 085";1019.16;freza-n-303-085;1;;;;;00000000723;2;"Фреза  N 303 085";"Фреза  N 303 085";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  N 303 000";771.55;freza-n-303-000;1;;;;;00000000884;2;"Фреза  N 303 000";"Фреза  N 303 000";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  N 302 500";771.55;freza-n-302-500;1;;;;;УТ000000611;3;"Фреза  N 302 500";"Фреза  N 302 500";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  N 302 485";1082.08;freza-n-302-485;1;;;;;00000000882;4;"Фреза  N 302 485";"Фреза  N 302 485";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  N 302 400";771.55;freza-n-302-400;1;;;;;00000000883;3;"Фреза  N 302 400";"Фреза  N 302 400";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  N 302 085";985.44;freza-n-302-085;1;;;;;00000000722;1;"Фреза  N 302 085";"Фреза  N 302 085";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  N 302 000";740.35;freza-n-302-000;1;;;;;00000000881;1;"Фреза  N 302 000";"Фреза  N 302 000";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  F 24 12 75";799.12;freza-f-24-12-75;1;;;;;00000000719;5;"Фреза  F 24 12 75";"Фреза  F 24 12 75";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  ASD 07 04 D";490.89;freza-asd-07-04-d;1;;;;;00000000887;4;"Фреза  ASD 07 04 D";"Фреза  ASD 07 04 D";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Крепёжная фурнитура/Уголок ПЛ";"Уголок ПЛ с заглушкой Миланский тёмн";0.72;ugolok-pl-s-zaglushkoj-milanskij-temn;1;;;;;00000002331;15;"Уголок ПЛ с заглушкой Миланский тёмн";"Уголок ПЛ с заглушкой Миланский тёмн";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Крепёжная фурнитура/Уголок ПЛ";"Уголок ПЛ с заглушкой Белый ";0.78;ugolok-pl-s-zaglushkoj-belyj-;1;;;;;00000000854;500;"Уголок ПЛ с заглушкой Белый ";"Уголок ПЛ с заглушкой Белый ";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Крепёжная фурнитура/Уголоки/Уголок мет.с пласт.наклад.";"Уголок мет. с пласт. наклад. 20*20 ольха";5.33;ugolok-met-s-plast-naklad-2020-olha;1;;;;;УТ000000617;187;"Уголок мет. с пласт. наклад. 20*20 ольха";"Уголок мет. с пласт. наклад. 20*20 ольха";;;;abyovo7_2.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Крепёжная фурнитура/Уголоки/Уголок мет.с пласт.наклад.";"Уголок мет. с пласт. наклад. 20*20 вишня";5.33;ugolok-met-s-plast-naklad-2020-vishnya;1;;;;;УТ000000616;364;"Уголок мет. с пласт. наклад. 20*20 вишня";"Уголок мет. с пласт. наклад. 20*20 вишня";;;;abyovo7_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Крепёжная фурнитура/Уголоки/Уголок мет.с пласт.наклад.";"Уголок мет с пласт. наклад. 20*20 белый";5.33;ugolok-met-s-plast-naklad-2020-belyj;1;;;;;УТ000000619;278;"Уголок мет с пласт. наклад. 20*20 белый";"Уголок мет с пласт. наклад. 20*20 белый";;;;abyovo7.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Крепёжная фурнитура/Уголоки/Уголок металлический";"Уголок мет. 20*20 двойной";2.34;ugolok-met-2020-dvojnoj;1;;;;;00000001525;0;"Уголок мет. 20*20 двойной";"Уголок мет. 20*20 двойной";;;;59r.300x300.jpg?28e1a819cff610be84fd1a9e05aa8cc4;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Крепёжная фурнитура/Уголоки/Уголок металлический";"Уголок мет. 20*20 овал";1.01;ugolok-met-2020-oval;1;;;;;00000001069;0;"Уголок мет. 20*20 овал";"Уголок мет. 20*20 овал";;;;2546_img.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Трубы и комплектующие/Труба d-50";"Труба d50*3000";373.80;truba-d503000;1;;;;;00000000615;70;"Труба d50*3000";"Труба d50*3000";;;;50uhjh.300x300_2.jpg?66365622adeedf6bb3fb5cb50a7bff4c;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Трубы и комплектующие/Труба d-25";"Труба d25*3000*1";171.00;truba-d2530001;1;;;;;00000001990;2291;"Труба d25*3000*1";"Труба d25*3000*1";;;;T25.300x300_6.jpg?4dfc97f60a40b72574cecb52a64e1430;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Трубы и комплектующие/Труба d-25";"Труба d25*3000 облегченая";116.88;truba-d253000-oblegchenaya;1;;;;;УТ000000463;86;"Труба d25*3000 облегченая";"Труба d25*3000 облегченая";;;;T25.300x300_7.jpg?4dfc97f60a40b72574cecb52a64e1430;;;;;;;;;;3000;;;;;;;;;;;;;d25;
"Комплектующие для мебели/Трубы и комплектующие/Труба d-25";"Труба d25*2800 Arket";141.70;truba-d252800-arket;1;;;;;УТ000000273;142;"Труба d25*2800 Arket";"Труба d25*2800 Arket";;;;T25.300x300.jpg?4dfc97f60a40b72574cecb52a64e1430;;;;;;;;;;2800;;;;;;;;;;1мм;;;d25;
"Комплектующие для мебели/Трубы и комплектующие/Труба d-16";"Труба d16*3000*0.8";124.60;truba-d16300008;1;;;;;00000002242;0;"Труба d16*3000*0.8";"Труба d16*3000*0.8";;;;Untitled-1.300x300.jpg?6feacf6b19434eed9a91ce8e9a62b756;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Трубы и комплектующие/Труба d-16";"Труба d16*2800*1 Arket";135.00;truba-d1628001-arket;1;;;;;УТ000000272;0;"Труба d16*2800*1 Arket";"Труба d16*2800*1 Arket";;;;Untitled-1.300x300_3.jpg?6feacf6b19434eed9a91ce8e9a62b756;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Трубы и комплектующие/Труба d-10";"Труба d10*3000*1";111.20;truba-d1030001;1;;;;;УТ000000145;0;"Труба d10*3000*1";"Труба d10*3000*1";;;;Untitled-2.300x300.jpg?2b595ff345e3937d1cdcbdf1039e86f4;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Трубы и комплектующие/Труба овал";"Труба 30*15*3000*1 овал Arket";153.00;truba-301530001-oval-arket;1;;;;;00000001081;0;"Труба 30*15*3000*1 овал Arket";"Труба 30*15*3000*1 овал Arket";;;;471552_55bbb3663de84f7df6abae3bd7e60b3d.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Светильники/Трансформатор";Трансформатор;81.19;transformator;1;;;;;00000000037;14;Трансформатор;Трансформатор;;;;104r.300x300_1.jpg?943e9f13f33790dc90d9abb501dac83f;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Тандембокс";"Тандембокс L500";998.76;tandemboks-l500;1;;;;;00000001108;67;"Тандембокс L500";"Тандембокс L500";;;;15r.300x300.jpg?4be6029a9a7a507bb8fb849e87572893;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Тандембокс";"Тандембокс L450 h-86";938.73;tandemboks-l450-h-86;1;;;;;00000000689;47;"Тандембокс L450 h-86";"Тандембокс L450 h-86";;;;15r.300x300_2.jpg?4be6029a9a7a507bb8fb849e87572893;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Тандембокс";"Тандембокс L400 h-86";715.14;tandemboks-l400-h-86;1;;;;;00000000195;18;"Тандембокс L400 h-86";"Тандембокс L400 h-86";;;;15r.300x300_1.jpg?4be6029a9a7a507bb8fb849e87572893;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Тандембокс";"Тандембокс L270 h-86";614.33;tandemboks-l270-h-86;1;;;;;УТ000000283;0;"Тандембокс L270 h-86";"Тандембокс L270 h-86";;;;napravlyaushie-tandem-box-h105_2.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Тандембоксы Blum";"Тандембокс L500 Blum";0.00;tandemboks-l500-blum;1;;;;;УТ000000466;2;"Тандембокс L500 Blum";"Тандембокс L500 Blum";;;;int_tbx_n5001.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Тандембоксы Blum";"Тандембокс L450 белый Blum";1262.02;tandemboks-l450-belyj-blum;1;;;;;00000002901;0;"Тандембокс L450 белый Blum";"Тандембокс L450 белый Blum";;;;KTX451.JPG;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Тандембокс";"Тандембокс L450 Boyard";1349.05;tandemboks-l450-boyard;1;;;;;00000002901;0;"Тандембокс L450 Boyard";"Тандембокс L450 Boyard";;;;TdbxM451.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Тандембоксы Blum";"Тандембокс L350 Blum";1400.00;tandemboks-l350-blum;1;;;;;00000002902;0;"Тандембокс L350 Blum";"Тандембокс L350 Blum";;;;TdbxM351.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Тандембоксы Blum";"Тандембокс L270 Blum";0.00;tandemboks-l270-blum;1;;;;;;;"Тандембокс L270 Blum";"Тандембокс L270 Blum";;;;TdbxM1.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Тандем-соединитель";"Тандем-соед. задней стенки h-190";67.86;tandem-soed-zadnej-stenki-h-190;1;;;;;00000000629;96;"Тандем-соед. задней стенки h-190";"Тандем-соед. задней стенки h-190";;;;zadnya_stenka_1.jpg;;;;;;;;h190;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Тандем-соединитель";"Тандем-соед. задней стенки h-130";44.04;tandem-soed-zadnej-stenki-h-130;1;;;;;00000000620;46;"Тандем-соед. задней стенки h-130";"Тандем-соед. задней стенки h-130";;;;zadnya_stenka.jpg;;;;;;;;h130;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Тандем-соединитель";"Тандем-соед. задней стенки h-96 белый Blum ";57.31;tandem-soed-zadnej-stenki-h-96-belyj-blum-;1;;;;;00000002900;0;"Тандем-соед. задней стенки h-96 белый Blum ";"Тандем-соед. задней стенки h-96 белый Blum ";;;;product_img_844.PNG;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Тандем-соединитель";"Тандем-соед. задней стенки h-96 Blum ";59.06;tandem-soed-zadnej-stenki-h-96-blum-;1;;;;;00000002900;4;"Тандем-соед. задней стенки h-96 Blum ";"Тандем-соед. задней стенки h-96 Blum ";;;;product_img_844_845.PNG;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Тандем-соединитель";"Тандем-соед. задней стенки h-224 белый Blum ";109.00;tandem-soed-zadnej-stenki-h-224-belyj-blum-;1;;;;;00000002898;0;"Тандем-соед. задней стенки h-224 белый Blum ";"Тандем-соед. задней стенки h-224 белый Blum ";;;;product_img_844_846.PNG;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Тандем-соединитель";"Тандем-соед. задней стенки h-224 Blum ";124.15;tandem-soed-zadnej-stenki-h-224-blum-;1;;;;;00000002898;1;"Тандем-соед. задней стенки h-224 Blum ";"Тандем-соед. задней стенки h-224 Blum ";;;;product_img_844_847.PNG;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Кухонные комплектующие/Посудосушитель/Сушка 800";"Сушка хром 800 в верх.базу ";562.42;sushka-hrom-800-v-verhbazu-;1;;;;;00000000364;62;"Сушка хром 800 в верх.базу ";"Сушка хром 800 в верх.базу ";;;;66r.300x300_3.jpg?39ad5fdbc9e54c43e0a337a42d3158b2;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Кухонные комплектующие/Посудосушитель/Сушка 700";"Сушка хром 700 в верх.базу ";495.60;sushka-hrom-700-v-verhbazu-;1;;;;;00000001075;95;"Сушка хром 700 в верх.базу ";"Сушка хром 700 в верх.базу ";;;;66r.300x300_4.jpg?39ad5fdbc9e54c43e0a337a42d3158b2;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Кухонные комплектующие/Посудосушитель/Сушка 600";"Сушка хром 600 в верх.базу ";428.82;sushka-hrom-600-v-verhbazu-;1;;;;;00000000911;88;"Сушка хром 600 в верх.базу ";"Сушка хром 600 в верх.базу ";;;;66r.300x300_2.jpg?39ad5fdbc9e54c43e0a337a42d3158b2;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Кухонные комплектующие/Посудосушитель/Сушка 500";"Сушка хром 500 в верх.базу ";462.84;sushka-hrom-500-v-verhbazu-;1;;;;;00000000363;17;"Сушка хром 500 в верх.базу ";"Сушка хром 500 в верх.базу ";;;;66r.300x300_1.jpg?39ad5fdbc9e54c43e0a337a42d3158b2;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Кухонные комплектующие/Посудосушитель/Сушка 450";"Сушка хром 450 в верх.базу";524.00;sushka-hrom-450-v-verhbazu;1;;;;;УТ000000036;0;"Сушка хром 450 в верх.базу";"Сушка хром 450 в верх.базу";;;;90r.300x300_1.jpg?1be444b14c47eda86648a70809c36c1a;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Кухонные комплектующие/Посудосушитель/Сушка 800";"Сушка никель 800";187.60;sushka-nikel-800;1;;;;;00000000840;113;"Сушка никель 800";"Сушка никель 800";;;;90r.300x300_5.jpg?1be444b14c47eda86648a70809c36c1a;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Кухонные комплектующие/Посудосушитель/Сушка 700";"Сушка никель 700";181.16;sushka-nikel-700;1;;;;;00000000839;49;"Сушка никель 700";"Сушка никель 700";;;;90r.300x300_4.jpg?1be444b14c47eda86648a70809c36c1a;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Кухонные комплектующие/Посудосушитель/Сушка 600";"Сушка никель 600";170.80;sushka-nikel-600;1;;;;;00000000836;80;"Сушка никель 600";"Сушка никель 600";;;;90r.300x300_3.jpg?1be444b14c47eda86648a70809c36c1a;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Кухонные комплектующие/Посудосушитель/Сушка 500";"Сушка никель 500";135.60;sushka-nikel-500;1;;;;;00000000835;104;"Сушка никель 500";"Сушка никель 500";;;;90r.300x300_2.jpg?1be444b14c47eda86648a70809c36c1a;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Кухонные комплектующие/Посудосушитель/Сушка выкатная 800";"Сушка выкат. 800 в ниж.базу 765*425*170";1325.63;sushka-vykat-800-v-nizhbazu-765425170;1;;;;;00000000664;8;"Сушка выкат. 800 в ниж.базу 765*425*170";"Сушка выкат. 800 в ниж.базу 765*425*170";;;;41r.300x300_2.jpg?629a116370e5bc35f27972512daab5ef;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Кухонные комплектующие/Посудосушитель/Сушка выкатная 600";"Сушка выкат. 600 в ниж.базу 567*425*140";1088.99;sushka-vykat-600-v-nizhbazu-567425140;1;;;;;00000000343;22;"Сушка выкат. 600 в ниж.базу 567*425*140";"Сушка выкат. 600 в ниж.базу 567*425*140";;;;41r.300x300_1.jpg?629a116370e5bc35f27972512daab5ef;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Кухонные комплектующие/Посудосушитель/Сушка 900";"Сушка белая 900";170.00;sushka-belaya-900;1;;;;;00000000349;12;"Сушка белая 900";"Сушка белая 900";;;;113r.300x300_5.jpg?95b4aec905ab7c85d1484372560a0042;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Кухонные комплектующие/Посудосушитель/Сушка 800";"Сушка белая 800 ";185.50;sushka-belaya-800-;1;;;;;00000000841;66;"Сушка белая 800 ";"Сушка белая 800 ";;;;113r.300x300_4.jpg?95b4aec905ab7c85d1484372560a0042;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Кухонные комплектующие/Посудосушитель/Сушка 700";"Сушка белая 700 ";179.90;sushka-belaya-700-;1;;;;;00000001216;96;"Сушка белая 700 ";"Сушка белая 700 ";;;;113r.300x300_3.jpg?95b4aec905ab7c85d1484372560a0042;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Кухонные комплектующие/Посудосушитель/Сушка 600";"Сушка белая 600 ";156.80;sushka-belaya-600-;1;;;;;00000000914;52;"Сушка белая 600 ";"Сушка белая 600 ";;;;113r.300x300_2.jpg?95b4aec905ab7c85d1484372560a0042;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Кухонные комплектующие/Посудосушитель/Сушка 500";"Сушка белая 500";152.60;sushka-belaya-500;1;;;;;00000000932;72;"Сушка белая 500";"Сушка белая 500";;;;113r.300x300_1.jpg?95b4aec905ab7c85d1484372560a0042;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Кухонные комплектующие/Посудосушитель/Сушка 400";"Сушка белая 400";131.60;sushka-belaya-400;1;;;;;00000000925;18;"Сушка белая 400";"Сушка белая 400";;;;113r.300x300.jpg?95b4aec905ab7c85d1484372560a0042;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Крепёжная фурнитура/Стяжки/Стяжка межсекционная";"Стяжка межсекцион. 4*30 (1/2000)";0.95;styazhka-mezhsektsion-430-12000;1;;;;;УТ000000476;81283;"Стяжка межсекцион. 4*30 (1/2000)";"Стяжка межсекцион. 4*30 (1/2000)";;;;99r.300x300.jpg?70962d81d1bdf4c25d20b86248dcb706;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Упаковка/Стрейч-пленка";"Стрейч-плёнка 500*300 вторичка";226.32;strejch-plenka-500300-vtorichka;1;;;;;УТ000000667;0;"Стрейч-плёнка 500*300 вторичка";"Стрейч-плёнка 500*300 вторичка";;;;45-17-01.gif;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Упаковка/Стрейч-пленка";"Стрейч-плёнка 500*300 17мкм";296.40;strejch-plenka-500300-17mkm;1;;;;;00000000646;54;"Стрейч-плёнка 500*300 17мкм";"Стрейч-плёнка 500*300 17мкм";;;;112r.300x300.jpg?9e6493c49babc25c3eff3418f134b484;;;;;;;;;;;;;;;;;;;;;;;;
